RESULTADO, HR, FECHA, SPOA, DIV
CAPTURAS, 2024-02585/MD-COEJC-DIV01-FTCMA-BASRO, 2024-06-23, 00000000000, DIV01
CAPTURAS, 2024-92223/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-14, 00000000000, DIV01
CAPTURAS, 2024-92223/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-14, 00000000000, DIV01
CAPTURAS, 2024-90063/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-22, 13468001119202400286, DIV01
CAPTURAS, 2024-82333/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-27, -, DIV01
MDOM, 2024-15913/MD-COEJC-DIV01-FTCMA-FTCMA, 2024-06-14, -, DIV01
MDOM, 2024-15913/MD-COEJC-DIV01-FTCMA-FTCMA, 2024-06-14, -, DIV01
ASESINADOS, 2024-99373/MD-COEJC-DIV01-FTCMA-BINAR, 2024-05-09, -, DIV01
ASESINADOS, 2024-01302/MD-COEJC-DIV01-FTCMA-BATOT112, 2024-05-10, -, DIV01
ASESINADOS, 2024-02268/MD-COEJC-DIV01-FTCMA-BASRO, 2024-05-14, -, DIV01
ASESINADOS, 2024-66293/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-25, -, DIV01
ARMAS LARGAS, 2024-00780/MD-COEJC-DIV01-FTCMA-BASRO, 2024-03-18, -, DIV01
ARMAS LARGAS, 2024-80543/MD-COEJC-DIV01-FTCMA-BINAR, 2024-05-17, -, DIV01
ARMAS LARGAS, 2024-28403/MD-COEJC-DIV01-FTCMA-BINAR, 2024-05-27, -, DIV01
ARMAS LARGAS, 2024-46173/MD-COEJC-DIV01-FTCMA-BINAR, 2024-05-27, -, DIV01
ARMAS LARGAS, 2024-01462/MD-COEJC-DIV01-FTCMA-BATOT112, 2024-05-30, -, DIV01
ARMAS LARGAS, 2024-01674/MD-COEJC-DIV01-FTCMA-BATOT112, 2024-06-25, -, DIV01
ARMAS LARGAS, 2024-71553/MD-COEJC-DIV01-FTCMA-BATOT112, 2024-06-30, -, DIV01
ARMAS CORTAS, 2024-02198/MD-COEJC-DIV01-FTCMA-BASRO, 2024-05-07, -, DIV01
ARMAS CORTAS, 2024-02418/MD-COEJC-DIV01-FTCMA-BASRO, 2024-05-28, -, DIV01
ARMAS CORTAS, 2024-67743/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-11, -, DIV01
ARMAS CORTAS, 2024-92223/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-14, -, DIV01
ARMAS CORTAS, 2024-75343/MD-COEJC-DIV01-FTCMA-BASRO, 2024-07-16, -, DIV01
ARMAS CORTAS, 2024-82333/MD-COEJC-DIV01-FTCMA-BINAR, 2024-07-27, -, DIV01
MUNICIONES, 2024-00780/MD-COEJC-DIV01-FTCMA-BASRO, 2024-03-18, -, DIV01
MUNICIONES, 2024-00911/MD-COEJC-DIV01-FTCMA-BASRO, 2024-04-02, -, DIV01
MUNICIONES, 2024-00911/MD-COEJC-DIV01-FTCMA-BASRO, 2024-04-02, -, DIV01
MUNICIONES, 2024-01256/MD-COEJC-DIV01-FTCMA-BATOT112, 2024-05-05, -, DIV01
MUNICIONES, 2024-01256/MD-COEJC-DIV01-FTCMA-BATOT112, 2024-05-05, -, DIV01
MUNICIONES, 2024-02198/MD-COEJC-DIV01-FTCMA-BASRO, 2024-05-07, -, DIV01
MUNICIONES, 2024-02217/MD-COEJC-DIV01-FTCMA-BASRO, 2024-05-09, -, DIV01
MUNICIONES, 2024-81563/MD-COEJC-DIV01-FTCMA-BINAR, 2024-05-17, -, DIV01
MUNICIONES, 2024-80543/MD-COEJC-DIV01-FTCMA-BINAR, 2024-05-17, -, DIV01
MUNICIONES, 2024-02295/MD-COEJC-DIV01-FTCMA-BASRO, 2024-05-18, -, DIV01
