FID,OBJECTID_1,NOMBRE_ENT,CATEGORIA,DEPARTAMEN,COD_DEPART,COD_MUNICI,AREA_KM,OBSERVACIO,PK_CUE,ACTO_ADMIN,ESCALA_150,ESCALA_200,ESCALA_300,ESCALA_350,ESCALA_400,ESCALA_500,ESCALA_750,ESCALA_100,SHAPE_Leng,SHAPE_Area
0,"4,184.000000000000000",POTOSÍ,M,NARIÑO,52,560,376.602233790000010, ,"501,281.000000000000000", ,0,0,0,0,0,0,0,0,1.258260903390000,0.030492706025900
1,"4,185.000000000000000",PUERTO CAICEDO,M,PUTUMAYO,86,569,926.232805399999960, ,"501,283.000000000000000", ,0,0,0,0,0,0,0,0,1.572473595280000,0.075120123948700
2,"4,186.000000000000000",CÓRDOBA,M,NARIÑO,52,215,304.590580940000000, ,"501,287.000000000000000", ,0,0,0,0,0,0,0,0,1.165909064840000,0.024665644344500
3,"4,187.000000000000000",PUERRES,M,NARIÑO,52,573,350.147195899999990, ,"501,293.000000000000000", ,0,0,0,0,0,0,0,0,1.187046431030000,0.028357340909800
4,"4,188.000000000000000",ORITO,M,PUTUMAYO,86,320,"1,936.372993929999900", ,"501,295.000000000000000", ,0,0,0,0,0,0,0,0,2.114921614220000,0.156926518954000
5,"4,189.000000000000000",CONTADERO,M,NARIÑO,52,210,43.227617440000003, ,"501,297.000000000000000", ,0,0,0,0,0,0,0,0,0.324807421797000,0.003499498597440
6,"4,190.000000000000000",CARMEN DE APICALÁ,M,TOLIMA,73,148,190.567218919999990, ,"501,029.000000000000000", ,0,0,0,0,0,0,0,0,0.712078219926000,0.015518833953000
7,"4,191.000000000000000",ESPINAL,M,TOLIMA,73,268,217.426833560000010, ,"501,031.000000000000000", ,0,0,0,0,0,0,0,0,0.760369127284000,0.017705901988500
8,"4,192.000000000000000",GUAMO,M,TOLIMA,73,319,505.460816470000000, ,"501,033.000000000000000", ,0,0,0,0,0,0,0,0,1.123969924640000,0.041155266912800
9,"4,193.000000000000000",SUÁREZ,M,TOLIMA,73,770,189.541018240000000, ,"501,035.000000000000000", ,0,0,0,0,0,0,0,0,0.959663715663000,0.015433413134400
